pubmed articles,sample_id
27486450,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1002', 'lp_1153', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2256', 'lp_2486', 'lp_2631', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
23793626,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1002', 'lp_1153', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2256', 'lp_2486', 'lp_2578', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
21984245,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1002', 'lp_1153', 'lp_2256', 'lp_2486', 'lp_2578', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
28115379,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1002', 'lp_1153', 'lp_1424', 'lp_1425', 'lp_2256', 'lp_2578', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
16109954,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2486', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
23645198,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2486', 'lp_2631', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
26453568,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_1002', 'lp_1153', 'lp_1424', 'lp_1425', 'lp_2256', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_0373']"
24856385,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_1424', 'lp_1425', 'lp_1760', 'lp_2486', 'lp_2631', 'lp_2714', 'lp_2942', 'lp_2956', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
20498715,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2486', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
21080958,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_2486', 'lp_2942', 'lp_2956', 'lp_2991', 'lp_3014', 'lp_3059', 'lp_3127', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945', 'lp_3050', 'lp_0373']"
