pubmed articles,sample_id
28115379,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
21984245,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
26453568,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
19111640,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
21723265,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0600', 'lp_0725', 'lp_0789', 'lp_0373']"
16109954,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
17071785,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
16109953,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
23776675,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
26546316,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0775', 'lp_0271', 'lp_0272']"
27486450,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
22326142,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
23109816,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
19074391,"['lp_0172', 'lp_0173', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0373']"
28891023,"['lp_0172', 'lp_0173', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
16553727,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_0271', 'lp_0272', 'lp_0373']"
18512940,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
18681965,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0373']"
23793626,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
18539794,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
24532775,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
22634038,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0271', 'lp_0272']"
26438232,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
23971028,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
28830089,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0725', 'lp_0271', 'lp_0272']"
28261192,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
24231110,"['lp_0172', 'lp_0173', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272']"
18757797,"['lp_0172', 'lp_0173', 'lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
24989485,"['lp_0600', 'lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
26955710,"['lp_0600', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
26678992,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
20498715,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
15547253,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
21080958,"['lp_0725', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
19827797,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
24856291,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
20002138,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
19419788,"['lp_0050', 'lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
16338113,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_0271', 'lp_0272']"
15375644,"['lp_0050', 'lp_0725', 'lp_0271', 'lp_0272', 'lp_0373']"
16549665,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_0789', 'lp_0373']"
21349328,"['lp_0050', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0373']"
21504147,"['lp_0050', 'lp_0600', 'lp_0775', 'lp_0789', 'lp_0373']"
23645198,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
18048908,"['lp_0050', 'lp_0600', 'lp_0725', 'lp_0775', 'lp_0373']"
24950021,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
25746986,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
25349156,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
29776925,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
27119622,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
16723015,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272', 'lp_0373']"
15900965,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0271', 'lp_0272']"
26459565,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272', 'lp_0373']"
23170998,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272', 'lp_0373']"
27176608,"['lp_0600', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
18194256,"['lp_0600', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
19566681,"['lp_0600', 'lp_0725', 'lp_0775', 'lp_0789', 'lp_0373']"
22037312,"['lp_0725', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
22704047,"['lp_0775', 'lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
24856385,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
23054632,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
18510336,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
18416556,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
24861375,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
19672048,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0373']"
24332262,"['lp_0050', 'lp_0775', 'lp_0271', 'lp_0272']"
19744343,"['lp_0050', 'lp_0600', 'lp_0789', 'lp_0373']"
19346347,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
22156394,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_0373']"
21796993,"['lp_0050', 'lp_0775', 'lp_0789', 'lp_0373']"
17657538,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
17261521,"['lp_0050', 'lp_0271', 'lp_0272', 'lp_0373']"
28040493,"['lp_0050', 'lp_0789', 'lp_0271', 'lp_0272']"
22203558,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
22585750,"['lp_0172', 'lp_0173', 'lp_0725', 'lp_0373']"
27815279,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
15066807,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
23220639,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
11073918,"['lp_0172', 'lp_0173', 'lp_0271', 'lp_0272']"
23413922,"['lp_0600', 'lp_0775', 'lp_0789', 'lp_0373']"
18563659,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
19229842,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
14320486,"['lp_0600', 'lp_0271', 'lp_0272', 'lp_0373']"
27716231,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
25175550,"['lp_0789', 'lp_0271', 'lp_0272', 'lp_0373']"
