sample_id,articles on pubmed
"""lp_0050""",19827797
"""lp_0172""",22203558
"""lp_0173""",22203558
"""lp_0600""",18298538
"""lp_0725""",26678992
"""lp_0775""",15547253
"""lp_0789""",21984245
"""lp_1002""",24856385
"""lp_1008""",29619637
"""lp_1153""",26678992
"""lp_1424""",29776925
"""lp_1425""",29776925
"""lp_1760""",25173466
"""lp_2256""",26678992
"""lp_2376""",16788187
"""lp_2486""",28891023
"""lp_2578""",27716231
"""lp_2631""",24856291
"""lp_2714""",21723265
"""lp_2942""",28115379
"""lp_2956""",28115379
"""lp_2991""",20498715
"""lp_3001""",11717284
"""lp_3014""",21984245
"""lp_3059""",28891023
"""lp_3127""",28891023
"""lp_0271""",28115379,23645198
"""lp_0272""",28115379,23645198
"""lp_0796""",23793626,23054632
"""lp_2943""",28115379,26453568
"""lp_2945""",28115379,23645198
"""lp_3050""",24614815,23971028
"""lp_0373""",24989485,23971028,18298538,16109954
"""lp_1088""",28624630,28382444,26903128,26635224
"""lp_1092""",3933832,3928159,6749285,6776956
