sample_id,function
lp_0001,"['sp|Q890K8.1|DNAA_LACPL RecName: Full=Chromosomal replication initiator protein DnaA', 'YP_004888094.1 chromosomal replication initiation protein DnaA [Lactobacillus plantarum WCFS1]', 'CCC77580.1 chromosomal replication initiation protein DnaA [Lactobacillus plantarum WCFS1]']"
lp_0002,"['YP_004888095.1 DNA-directed DNA polymerase III subunit beta [Lactobacillus plantarum WCFS1]', 'CCC77581.1 DNA-directed DNA polymerase III, beta chain [Lactobacillus plantarum WCFS1]']"
lp_0004,"['YP_004888096.1 hypothetical protein lp_0004 [Lactobacillus plantarum WCFS1]', 'CCC77582.1 hypothetical protein lp_0004 [Lactobacillus plantarum WCFS1]', 'CCC17071.1 putative uncharacterized protein lp_0004 [Lactobacillus pentosus IG1]', 'CCB82240.1 putative uncharacterized protein lp_0004 [Lactobacillus pentosus MP-10]']"
lp_0005,"['sp|Q890K5.1|RECF_LACPL RecName: Full=DNA replication and repair protein RecF', 'YP_004888097.1 DNA repair and genetic recombination protein RecF [Lactobacillus plantarum WCFS1]', 'CCC77583.1 DNA repair and genetic recombination protein RecF [Lactobacillus plantarum WCFS1]']"
lp_0009,"['sp|Q890K2.1|RS6_LACPL RecName: Full=30S ribosomal protein S6', 'YP_004888100.1 30S ribosomal protein S6 [Lactobacillus plantarum WCFS1]', 'CCC77586.1 30S ribosomal protein S6 [Lactobacillus plantarum WCFS1]']"
lp_0010,"['sp|Q890K1.1|SSB_LACPL RecName: Full=Single-stranded DNA-binding protein; Short=SSB', 'YP_004888101.1 single-strand DNA-binding protein [Lactobacillus plantarum WCFS1]', 'CCC77587.1 single-strand DNA-binding protein [Lactobacillus plantarum WCFS1]']"
lp_0011,"['sp|Q890K0.1|RS18_LACPL RecName: Full=30S ribosomal protein S18', 'YP_004888102.1 30S ribosomal protein S18 [Lactobacillus plantarum WCFS1]', 'CCC77588.1 30S ribosomal protein S18 [Lactobacillus plantarum WCFS1]']"
lp_0012,"['YP_004888103.1 phosphoesterase, DHH family [Lactobacillus plantarum WCFS1]', 'CCC77589.1 phosphoesterase, DHH family [Lactobacillus plantarum WCFS1]']"
lp_0013,"['sp|Q890J8.1|RL9_LACPL RecName: Full=50S ribosomal protein L9', 'YP_004888104.1 50S ribosomal protein L9 [Lactobacillus plantarum WCFS1]', 'CCC77590.1 50S ribosomal protein L9 [Lactobacillus plantarum WCFS1]']"
lp_0014,"['YP_004888105.1 replicative DNA helicase DnaC [Lactobacillus plantarum WCFS1]', 'CCC77591.1 replicative DNA helicase DnaC [Lactobacillus plantarum WCFS1]']"
lp_0015,"['YP_004888106.1 transport protein, major facilitator superfamily (MFS) [Lactobacillus plantarum WCFS1]', 'CCC77592.1 transport protein, major facilitator superfamily (MFS) [Lactobacillus plantarum WCFS1]']"
lp_0016,"['sp|Q890J5.2|PROB_LACPL RecName: Full=Glutamate 5-kinase; AltName: Full=Gamma-glutamyl kinase; Short=GK', 'YP_004888107.1 glutamate 5-kinase [Lactobacillus plantarum WCFS1]', 'CCC77593.1 glutamate 5-kinase [Lactobacillus plantarum WCFS1]']"
lp_0017,"['sp|Q890J4.1|PROA_LACPL RecName: Full=Gamma-glutamyl phosphate reductase; Short=GPR; AltName: Full=Glutamate-5-semialdehyde dehydrogenase; AltName: Full=Glutamyl-gamma-semialdehyde dehydrogenase; Short=GSA dehydrogenase', 'YP_004888108.1 glutamate-5-semialdehyde dehydrogenase [Lactobacillus plantarum WCFS1]', 'CCC77594.1 glutamate-5-semialdehyde dehydrogenase [Lactobacillus plantarum WCFS1]']"
lp_0018,"['YP_004888109.1 oligopeptide ABC transporter,oligopeptide-binding protein [Lactobacillus plantarum WCFS1]', 'ALG39529.1 S protein [Hepatitis B virus]', 'ALG39528.1 middle S protein [Hepatitis B virus]', 'ALG39527.1 large S protein [Hepatitis B virus]', 'ALG39832.1 core protein, partial [Hepatitis B virus]', 'CCC77595.1 oligopeptide ABC transporter,oligopeptide-binding protein [Lactobacillus plantarum WCFS1]']"
lp_0022,"['YP_004888112.1 glucose-1-P adenylyltransferase, regulatory subunit [Lactobacillus plantarum WCFS1]', 'CCC77598.1 glucose-1-P adenylyltransferase, regulatory subunit [Lactobacillus plantarum WCFS1]']"
lp_0026,"['YP_004888116.1 hydrolase, HAD superfamily, Cof family [Lactobacillus plantarum WCFS1]', 'CCC77602.1 hydrolase, HAD superfamily, Cof family [Lactobacillus plantarum WCFS1]']"
lp_0027,"['YP_004888117.1 beta-phosphoglucomutase [Lactobacillus plantarum WCFS1]', 'CCC77603.1 beta-phosphoglucomutase [Lactobacillus plantarum WCFS1]']"
lp_0036,"['YP_004888122.1 two-component system response regulator [Lactobacillus plantarum WCFS1]', 'CCC77608.1 two-component system response regulator [Lactobacillus plantarum WCFS1]']"
lp_0037,"['YP_004888123.1 two-component system histidine protein kinase; sensor protein [Lactobacillus plantarum WCFS1]', 'CCC77609.1 two-component system histidine protein kinase; sensor protein [Lactobacillus plantarum WCFS1]']"
