sample_id,function
"""lp_0156""","['YP_004888215.1 hypothetical protein lp_0156 [Lactobacillus plantarum WCFS1]', 'CCC77701.1 hypothetical protein lp_0156 [Lactobacillus plantarum WCFS1]']"
"""lp_0158""","['YP_004888216.1 hypothetical protein lp_0158 [Lactobacillus plantarum WCFS1]', 'CCC77702.1 hypothetical protein lp_0158 [Lactobacillus plantarum WCFS1]', 'CCC16934.1 putative uncharacterized protein lp_0158 [Lactobacillus pentosus IG1]', 'CCB83131.1 putative uncharacterized protein lp_0158 [Lactobacillus pentosus MP-10]']"
"""lp_0159""","['YP_004888217.1 short-chain dehydrogenase [Lactobacillus plantarum WCFS1]', 'CCC77703.1 short-chain dehydrogenase/oxidoreductase [Lactobacillus plantarum WCFS1]']"
"""lp_0160""","['YP_004888218.1 ABC transporter ATP-binding protein [Lactobacillus plantarum WCFS1]', 'CCC77704.1 ABC transporter, ATP-binding protein [Lactobacillus plantarum WCFS1]']"
"""lp_0161""","['YP_004888219.1 ABC transporter permease [Lactobacillus plantarum WCFS1]', 'CCC77705.1 ABC transporter, permease protein [Lactobacillus plantarum WCFS1]']"
"""lp_0162""","['YP_004888220.1 TetR family transcriptional regulator [Lactobacillus plantarum WCFS1]', 'CCC77706.1 transcription regulator, TetR family [Lactobacillus plantarum WCFS1]']"
"""lp_0163""","['YP_004888221.1 acyl-CoA dehydrogenase [Lactobacillus plantarum WCFS1]', 'CCC77707.1 acyl-CoA dehydrogenase domain protein [Lactobacillus plantarum WCFS1]', 'CCB83127.1 putative uncharacterized protein lp_0163 [Lactobacillus pentosus MP-10]']"
"""lp_0164""","['YP_004888222.1 membrane protein [Lactobacillus plantarum WCFS1]', 'CCC77708.1 hypothetical membrane protein, DUF1393 family [Lactobacillus plantarum WCFS1]']"
"""lp_0165""","['YP_004888223.1 TetR family transcriptional regulator [Lactobacillus plantarum WCFS1]', 'CCC77709.1 transcription regulator, TetR family [Lactobacillus plantarum WCFS1]']"
"""lp_0166""","['YP_004888224.1 dihydroxyacetone phosphotransferase,dihydroxyacetone binding sub-unit [Lactobacillus plantarum WCFS1]', 'CCC77710.1 dihydroxyacetone phosphotransferase,dihydroxyacetone binding sub-unit [Lactobacillus plantarum WCFS1]']"
"""lp_0168""","['YP_004888225.1 dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit [Lactobacillus plantarum WCFS1]', 'CCC77711.1 dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit [Lactobacillus plantarum WCFS1]']"
"""lp_0169""","['YP_004888226.1 dihydroxyacetone phosphotransferase,ADP-binding subunit [Lactobacillus plantarum WCFS1]', 'CCC77712.1 dihydroxyacetone phosphotransferase,ADP-binding subunit [Lactobacillus plantarum WCFS1]']"
"""lp_0170""","['YP_004888227.1 dihydroxyacetone phosphotransferase, phosphoryl donor protein [Lactobacillus plantarum WCFS1]', 'CCC77713.1 dihydroxyacetone phosphotransferase, phosphoryl donor protein [Lactobacillus plantarum WCFS1]', 'CCC16922.1 putative uncharacterized protein lp_0170 [Lactobacillus pentosus IG1]', 'CCB83121.1 putative uncharacterized protein lp_0170 [Lactobacillus pentosus MP-10]']"
"""lp_0171""","['sp|F9USY3.1|GLPF2_LACPL RecName: Full=Glycerol uptake facilitator protein 2', 'YP_004888228.1 dihydroxyacetone transport protein [Lactobacillus plantarum WCFS1]', 'CCC77714.1 dihydroxyacetone transport protein [Lactobacillus plantarum WCFS1]']"
"""lp_0172""","['YP_004888229.1 LacI family transcriptional regulator,maltose-related [Lactobacillus plantarum WCFS1]', 'CCC77715.1 transcription regulator, LacI family,maltose-related [Lactobacillus plantarum WCFS1]']"
"""lp_0173""","['YP_004888230.1 LacI family transcriptional regulator [Lactobacillus plantarum WCFS1]', 'CCC77716.1 transcription regulator, LacI family, maltose related [Lactobacillus plantarum WCFS1]']"
"""lp_0174""","['YP_004888231.1 maltase/sucrase [Lactobacillus plantarum WCFS1]', 'CCC77717.1 maltase/sucrase [Lactobacillus plantarum WCFS1]']"
"""lp_0175""","['YP_004888232.1 maltodextrin ABC transporter, substrate binding protein [Lactobacillus plantarum WCFS1]', 'CCC77718.1 maltodextrin ABC transporter, substrate binding protein [Lactobacillus plantarum WCFS1]']"
"""lp_0176""","['YP_004888233.1 maltodextrin ABC transporter, permease protein [Lactobacillus plantarum WCFS1]', 'CCC77719.1 maltodextrin ABC transporter, permease protein [Lactobacillus plantarum WCFS1]']"
"""lp_0177""","['YP_004888234.1 maltodextrin ABC transporter, permease protein [Lactobacillus plantarum WCFS1]', 'CCC77720.1 maltodextrin ABC transporter, permease protein [Lactobacillus plantarum WCFS1]']"
"""lp_0178""","['YP_004888235.1 maltodextrin ABC transporter, accessory protein [Lactobacillus plantarum WCFS1]', 'CCC77721.1 maltodextrin ABC transporter, accessory protein [Lactobacillus plantarum WCFS1]']"
